forward_c_qtr,bbb_interest_rate
1996Q4,7.26
1997Q1,7.380983606557377
1997Q2,7.513692307692308
1997Q3,7.070461538461538
1997Q4,6.874545454545454
1998Q1,6.724923076923077
1998Q2,6.7478461538461545
1998Q3,6.698181818181818
1998Q4,6.760757575757576
1999Q1,6.867692307692307
1999Q2,7.191076923076923
1999Q3,7.676417910447762
1999Q4,7.926865671641791
2000Q1,8.189230769230768
2000Q2,8.548461538461538
2000Q3,8.251060606060607
2000Q4,8.231692307692306
2001Q1,7.538461538461538
2001Q2,7.353230769230769
2001Q3,6.990634920634921
2001Q4,6.898307692307692
2002Q1,7.096190476190476
2002Q2,7.269393939393939
2002Q3,7.040746268656717
2002Q4,6.727727272727273
2003Q1,5.847301587301588
2003Q2,5.036615384615384
2003Q3,5.231044776119403
2003Q4,5.076969696969697
2004Q1,4.661060606060606
2004Q2,5.3225
2004Q3,5.1408955223880595
2004Q4,5.001666666666667
2005Q1,5.252539682539683
2005Q2,5.517121212121212
2005Q3,5.415970149253732
2005Q4,5.825230769230769
2006Q1,5.79015625
2006Q2,6.256461538461538
2006Q3,6.190909090909091
2006Q4,5.913384615384615
2007Q1,5.902461538461539
2007Q2,6.07234375
2007Q3,6.301363636363636
2007Q4,6.180153846153845
2008Q1,6.244761904761905
2008Q2,6.58090909090909
2008Q3,6.978805970149254
2008Q4,9.615
2009Q1,9.261692307692307
2009Q2,8.281846153846155
2009Q3,6.426515151515151
2009Q4,5.584090909090909
2010Q1,5.197384615384615
2010Q2,5.05828125
2010Q3,4.604776119402985
2010Q4,4.44268656716418
2011Q1,4.67796875
2011Q2,4.409076923076923
2011Q3,4.273731343283582
2011Q4,4.534
2012Q1,4.216923076923077
2012Q2,4.031692307692308
2012Q3,3.702878787878788
2012Q4,3.36484375
2013Q1,3.3674603174603175
2013Q2,3.451363636363636
2013Q3,4.067230769230769
2013Q4,3.9054545454545453
2014Q1,3.740793650793651
2014Q2,3.5175384615384613
2014Q3,3.47910447761194
2014Q4,3.635151515151515
2015Q1,3.6184375
2015Q2,3.63375
2015Q3,3.9881818181818187
2015Q4,4.170303030303031
2016Q1,4.33953125
2016Q2,3.6624242424242426
2016Q3,3.3008955223880596
2016Q4,3.6307692307692307
2017Q1,3.74078125
2017Q2,3.576
2017Q3,3.4834848484848484
2017Q4,3.551846153846154
2018Q1,3.89953125
2018Q2,4.299242424242424
2018Q3,4.365454545454545
2018Q4,4.672769230769231
2019Q1,4.38765625
2019Q2,3.9029230769230767
2019Q3,3.393731343283582
2019Q4,3.254153846153846
2020Q1,3.3483076923076927
2020Q2,3.3432307692307695
2020Q3,2.4065151515151517
2020Q4,2.2675757575757576
2021Q1,2.282923076923077
2021Q2,2.38625
2021Q3,2.2340298507462686
2021Q4,2.5086363636363633
2022Q1,3.35234375
2022Q2,4.661846153846153
2022Q3,5.164029850746269
2022Q4,6.191621621621621
